title,category,date,longitude,latitude
Iceberg B22H,Sea and Lake Ice,2025-07-11T12:00:00Z,-168.78,-73.71
Iceberg B22I,Sea and Lake Ice,2025-07-11T00:00:00Z,-168.96,-73.85
"HOPE Wildfire, Stevens, Washington",Wildfires,2025-07-08T16:38:00Z,-117.982361,48.821248
"Hot Canyon Wildfire, Elko, Nevada",Wildfires,2025-07-08T16:18:00Z,-114.336333,41.368
"13 MILE FIRE Wildfire, Palm Beach, Florida",Wildfires,2025-07-08T15:34:00Z,-80.79,26.3833333
"UDC Fire Wildfire, Jefferson, Oregon",Wildfires,2025-07-07T22:59:00Z,-121.288889,44.803444
"0482 SUNRISE Wildfire, Crook, Oregon",Wildfires,2025-07-07T14:45:00Z,-120.038167,44.019167
"Wheeler Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-07-07T12:12:00Z,-156.631383,66.135283
"Sikik Wildfire, Northwest Arctic, Alaska",Wildfires,2025-07-06T12:35:00Z,-158.14,67.97
Tropical Storm Chantal,Severe Storms,2025-07-05T15:00:00Z,-78.7,31.1
Tropical Storm Chantal,Severe Storms,2025-07-05T21:00:00Z,-78.7,31.9
Tropical Storm Chantal,Severe Storms,2025-07-06T03:00:00Z,-78.8,32.7
Tropical Storm Chantal,Severe Storms,2025-07-06T09:00:00Z,-79.1,33.6
Tropical Storm Chantal,Severe Storms,2025-07-06T15:00:00Z,-79.2,34.4
Tropical Storm Chantal,Severe Storms,2025-07-06T21:00:00Z,-79,34.9
Tropical Storm Chantal,Severe Storms,2025-07-07T03:00:00Z,-78.7,35.9
Tropical Storm Chantal,Severe Storms,2025-07-07T09:00:00Z,-78.1,36.8
Tropical Storm Chantal,Severe Storms,2025-07-07T15:00:00Z,-76.3,37.5
Tropical Storm Chantal,Severe Storms,2025-07-07T21:00:00Z,-75,38.8
Tropical Storm Chantal,Severe Storms,2025-07-08T03:00:00Z,-73.6,39.6
"Tsukon Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-07-04T20:43:00Z,-146.021117,66.8268
"Bartlett Wildfire, Humboldt, Nevada",Wildfires,2025-07-04T18:31:00Z,-118.867117,41.4988
