title,category,date,longitude,latitude
"HOPE Wildfire, Stevens, Washington",Wildfires,2025-07-08 16:38:00+00:00,-117.982361,48.821248
"Hot Canyon Wildfire, Elko, Nevada",Wildfires,2025-07-08 16:18:00+00:00,-114.336333,41.368
"13 MILE FIRE Wildfire, Palm Beach, Florida",Wildfires,2025-07-08 15:34:00+00:00,-80.79,26.3833333
"UDC Fire Wildfire, Jefferson, Oregon",Wildfires,2025-07-07 22:59:00+00:00,-121.288889,44.803444
"0482 SUNRISE Wildfire, Crook, Oregon",Wildfires,2025-07-07 14:45:00+00:00,-120.038167,44.019167
"Wheeler Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-07-07 12:12:00+00:00,-156.631383,66.135283
"Sikik Wildfire, Northwest Arctic, Alaska",Wildfires,2025-07-06 12:35:00+00:00,-158.14,67.97
"Tsukon Wildfire, Yukon-Koyukuk, Alaska",Wildfires,2025-07-04 20:43:00+00:00,-146.021117,66.8268
"Bartlett Wildfire, Humboldt, Nevada",Wildfires,2025-07-04 18:31:00+00:00,-118.867117,41.4988
"Flicker Wildfire, Phillips, Montana",Wildfires,2025-07-04 14:25:00+00:00,-108.161667,47.621667
"BARBER Wildfire, Pershing, Nevada",Wildfires,2025-07-04 03:33:00+00:00,-117.863733,40.714483
"BUTLER Wildfire, Siskiyou, California",Wildfires,2025-07-03 21:44:00+00:00,-123.410667,41.315333
"Uncle Sam Creek Wildfire, Fairbanks North Star, Alaska",Wildfires,2025-07-03 19:58:00+00:00,-146.271833,64.4515
"MARBLE COMPLEX Incident Complex, Siskiyou, California",Wildfires,2025-07-03 14:22:00+00:00,-123.1997222,41.4258333
"Rx Jasper 3208 Prescribed Fire, Jasper, Texas",Wildfires,2025-07-03 13:53:00+00:00,-94.056877,30.778548
"Wilder Wildfire, Fergus, Montana",Wildfires,2025-07-03 01:30:00+00:00,-108.452633,47.556967
"Spring Creek Wildfire, Platte, Wyoming",Wildfires,2025-07-02 20:31:00+00:00,-105.230283,42.604967
"APPLE ACRES Wildfire, Chelan, Washington",Wildfires,2025-07-02 19:37:00+00:00,-119.91205,47.926667
"SIEGEL Wildfire, Spokane, Washington",Wildfires,2025-07-02 18:52:00+00:00,-117.547016,47.282184
"COLD SPRINGS Wildfire, Umatilla, Oregon",Wildfires,2025-07-02 18:50:00+00:00,-119.097306,45.923944
"Juniper Wildfire, Yavapai, Arizona",Wildfires,2025-07-02 18:11:00+00:00,-112.258333,34.1135
"Madre Wildfire, San Luis Obispo, California",Wildfires,2025-07-02 16:29:00+00:00,-120.046793,35.09519
"0391 GRIZZLY FLAT Wildfire, Jefferson, Oregon",Wildfires,2025-07-02 15:47:00+00:00,-120.950117,44.4813
"GREEN Wildfire, Shasta, California",Wildfires,2025-07-02 12:19:00+00:00,-122.096717,40.833867
"Powder River Wildfire, Johnson, Wyoming",Wildfires,2025-07-01 22:56:00+00:00,-106.0963,44.43205
"HALL Wildfire, Hot Springs, Wyoming",Wildfires,2025-07-01 18:30:00+00:00,-108.223028,43.731972
"Black Canyon Wildfire, Lake, Oregon",Wildfires,2025-07-01 14:51:00+00:00,-119.591367,42.425033
"Mosquito Wildfire, Monroe, Florida",Wildfires,2025-07-01 13:05:00+00:00,-80.896733,25.533017
